Date,CO AQI Value,NO2 AQI Value,Ozone AQI Value,SO2 AQI Value,Target
6/25/2020,2,0,41,0,New York
6/26/2020,2,0,64,0,New York
6/27/2020,2,0,37,0,New York
6/28/2020,3,0,36,0,New York
6/29/2020,3,0,45,0,New York
6/30/2020,3,0,40,0,New York
7/1/2020,3,0,43,0,New York
7/2/2020,2,0,42,0,New York
7/3/2020,3,0,46,0,New York
7/4/2020,3,0,87,0,New York
7/5/2020,5,0,35,0,New York
7/6/2020,5,0,32,0,New York
7/7/2020,2,0,31,0,New York
7/8/2020,3,0,19,0,New York
7/9/2020,3,0,33,0,New York
7/10/2020,2,0,38,0,New York
7/11/2020,3,0,42,0,New York
7/12/2020,3,0,29,0,New York
7/13/2020,2,0,41,0,New York
7/14/2020,2,0,26,0,New York
7/15/2020,2,0,42,0,New York
7/16/2020,1,0,71,0,New York
7/17/2020,3,0,100,0,New York
7/18/2020,5,0,54,0,New York
7/19/2020,5,0,80,0,New York
7/20/2020,3,0,108,0,New York
7/21/2020,3,0,50,0,New York
7/22/2020,3,0,33,0,New York
7/23/2020,2,0,90,0,New York
7/24/2020,3,0,48,0,New York
7/25/2020,3,0,64,0,New York
7/26/2020,2,0,45,0,New York
7/27/2020,2,0,77,0,New York
7/28/2020,2,0,90,0,New York
7/29/2020,3,0,45,0,New York
7/30/2020,3,0,71,0,New York
7/31/2020,3,0,39,0,New York
8/1/2020,3,0,46,0,New York
8/2/2020,3,0,26,0,New York
8/3/2020,3,0,48,0,New York
8/4/2020,2,0,71,0,New York
8/5/2020,3,0,51,0,New York
8/6/2020,7,0,44,0,New York
8/7/2020,7,0,58,0,New York
8/8/2020,5,0,100,0,New York
8/9/2020,3,0,42,0,New York
8/10/2020,3,0,80,0,New York
8/11/2020,3,0,36,0,New York
8/12/2020,5,0,46,0,New York
8/13/2020,5,0,33,0,New York
8/14/2020,3,0,21,0,New York
8/15/2020,2,0,39,0,New York
8/16/2020,2,0,36,0,New York
8/17/2020,3,0,25,0,New York
8/18/2020,3,0,42,0,New York
8/19/2020,5,0,48,0,New York
8/20/2020,3,0,44,0,New York
8/21/2020,3,0,37,0,New York
8/22/2020,3,0,49,0,New York
8/23/2020,3,0,46,0,New York
8/24/2020,2,0,26,0,New York
8/26/2020,2,0,45,0,New York
8/27/2020,3,0,39,0,New York
